# Third-party checkpoints used by PLABench. These are NOT part of the PLABench Zenodo archive; download them from the official source.
# model	checkpoint path (repo-relative unless noted)	compatibility link (repo-relative, '-' = none)	official source	sha256 (verified 2026-09-13)	bytes	license	note
FLOWR.ROOT	checkpoints/structure/flowr_root/flowr_root_v2.1.ckpt	-	https://drive.google.com/file/d/1n_UHnC7lttJbHKtA4wwi58EeKhMIACLP/view (folder https://drive.google.com/drive/folders/1NWpzTY-BG_9C4zXZndWlKwdu7UJNCYj8)	8d19cb7881214c156b07c42d4f26c686e235e99caf8bd378cec15bb15fb826ab	1007215991	MIT (github.com/jule-c/flowr_root)	v2.1 checkpoint; re-downloaded from Drive and hash-matched
FlowDock	checkpoints/structure/flowdock/esmfold_prior_paper_weights-EMA.ckpt	forks/MULTICOM_ligand/forks/FlowDock/checkpoints/esmfold_prior_paper_weights-EMA.ckpt	https://zenodo.org/records/15066450/files/flowdock_checkpoints.tar.gz (member checkpoints/esmfold_prior_paper_weights-EMA.ckpt; archive md5 a19bbf4d49f20af5f94303c9370f9dee)	2b598d53cde76dd36ae147e3e4ae7e171a0d4071468652a92263a9de317c48a7	401874499	MIT code (github.com/BioinfoMachineLearning/FlowDock); Zenodo deposit CC-BY-4.0	record v0.0.4 (2025-03-21); archive re-downloaded and member hash-matched
BA-Pred	checkpoints/structure/bapred/BAPred.pth	forks/BA-Pred/bapred/weight/BAPred.pth	https://github.com/eightmm/BA-Pred/raw/4c2ce6168eb4a265cba2f77673232a5ec9a4f88f/bapred/weight/BAPred.pth	927038d73a1ad405c15d3e2c351780e15b471f3629d02e52dfd68d524bc322ae	72452301	Apache-2.0	plain git blob c4797bdce77ff7bc5191c66bf1514bc30c993ccd matches the fork index
Graph_RG/Haiping	checkpoints/structure/haiping/full_model_out1800.model	forks/haiping_methods/work3_VS_n_general_competation_gtrans_RG_cutoff0.8_redo/full_model_out1800.model	https://media.githubusercontent.com/media/haiping1010/haiping_methods/d787e31f88941ea4cded9d7d67255a86d7236738/work3_VS_n_general_competation_gtrans_RG_cutoff0.8_redo/full_model_out1800.model	1f5e62f9eecae97f074d6a647a6899317acf43c77739e5c0bfa988c73d8d31e5	37830491	Apache-2.0	git-lfs pointer oid in the upstream repo equals this sha256
Boltz-2	~/.boltz/boltz2_conf.ckpt (boltz CLI cache, auto-downloaded)	-	https://huggingface.co/boltz-community/boltz-2/resolve/main/boltz2_conf.ckpt	090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1	2286561469	MIT	boltz 2.2.0 downloads this on first `boltz predict`; hash equals the Hugging Face LFS oid
Boltz-2	~/.boltz/boltz2_aff.ckpt (boltz CLI cache, auto-downloaded)	-	https://huggingface.co/boltz-community/boltz-2/resolve/main/boltz2_aff.ckpt	dcc5cd3722b1c9eaa34267e4ae32f55cbbf1963f4c19319381ccfa30fdd2ca9e	2062139170	MIT	affinity head
Boltz-2	~/.boltz/mols.tar (boltz CLI cache, auto-downloaded)	-	https://huggingface.co/boltz-community/boltz-2/resolve/main/mols.tar	39e076d96dbec6b4e86982bbda16f3a53a2a60c9bdc17828d88f6f9a0c7d1fd7	1855662080	MIT	CCD molecule cache
ESM3 (MixingDTA protein embedder)	checkpoints/ESM3/esm3_sm_open_v1.pth	data/weights -> checkpoints/ESM3 (esm reads data/weights/ relative to cwd when INFRA_PROVIDER is set)	https://huggingface.co/EvolutionaryScale/esm3-sm-open-v1/resolve/main/data/weights/esm3_sm_open_v1.pth	5ead5a135c658068db6a4f1b933e72d6110992c4668822e1c0e2dcc53e38acd9	2803646068	EvolutionaryScale Cambrian Non-Commercial License (gated: accept on Hugging Face)	NOT redistributable; hash equals the Hugging Face LFS oid
MixingDTA Davis/KIBA warm (authors' weights)	checkpoints/sequence/mixingdta/{davis,kiba}/warm/fold_*/{results_none,results_all_pair,results_drug,results_protein,results_drug_and_protein,results_reversed,result_integration}.pth	forks/MixingDTA/model_weights/<case>/<DAVIS|KIBA>/<fold>_fold_valid_best_checkpoint.pth (recreated by scripts/download_checkpoints.sh)	https://drive.google.com/file/d/13atZOJOXkvy03lH8VfvgSAhYu9gUNQ-i/view (DeepDTA.tar.gz in folder https://drive.google.com/drive/folders/1rdclHh9DeYL3rcoGP-73cGx2MOn95BLO)	tarball 500200bfff33a9ab65fe706c3851f0d9ce3dcd9b36b7690ead52ba85881aef78	485562443	no license file (github.com/rokieplayer20/MixingDTA)	70 MEETA checkpoints; all 70 hash-match the tarball members. Davis/KIBA cold-drug/cold-target weights are PLABench-trained and stay in the Zenodo archive
# runtime Hugging Face models (no local copy managed here)							
MolFormer (MixingDTA ligand embedder)	HF cache	-	https://huggingface.co/ibm/MoLFormer-XL-both-10pct	-	-	Apache-2.0	auto-downloaded by plabench/models/mixingdta/inference.py
ProtBert (MFE protein embedder)	HF cache	-	https://huggingface.co/Rostlab/prot_bert	-	-	Academic Free License v3.0 (per model card)	auto-downloaded; configs/model/mfe.yaml protbert_model
