Method,L1000,L3000,Weighted
bapred (af3),0.0,0.449,0.39447857142857146
bapred (boltz2),-0.015,0.347,0.3030428571428571
boltz2 (boltz2),0.235,0.489,0.4581571428571428
deepdta (sequence),0.132,0.336,0.31122857142857147
flowdock (af3),0.118,0.346,0.3183142857142857
flowdock (boltz2),0.235,0.32,0.3096785714285714
flowr_root (af3),0.088,0.486,0.4376714285714286
haiping (af3),0.25,0.444,0.4204428571428572
llf (sequence),0.176,0.333,0.31393571428571426
mfe (mfe),0.25,0.293,0.2877785714285714
mfe (mfe_af3),0.265,0.409,0.3915142857142857
mixingdta (sequence),0.074,0.414,0.3727142857142857
