series,ligand_id,smiles,sim_chembl34_full,ik_chembl34_full,sim_bindingdb_pre2412,ik_bindingdb_pre2412,sim_bindingnet_full,ik_bindingnet_full,sim_hiqbind,ik_hiqbind,sim_spindr,ik_spindr,sim_bindingmoad,ik_bindingmoad,sim_pdbbind2020,ik_pdbbind2020,sim_pdbbind2020_general,ik_pdbbind2020_general,sim_omol25,ik_omol25,sim_plinder,ik_plinder,sim_kinodata,ik_kinodata,sim_kiba3d,ik_kiba3d,sim_davis3d,ik_davis3d,sim_sair,ik_sair,max_sim,top_corpus,any_inchikey_hit,flowr_max
L1000,L1001,Fc4cc1c(n(c(c1CN(C)C(=O)OCC)C(=O)O)Cc2c3c(ccc2)cccc3)cc4,0.4534,False,0.4109,False,0.4109,False,0.3625,False,0.3293,False,0.3201,False,0.3064,False,0.3625,False,0.3972,False,0.3625,False,0.2949,False,0.3418,False,0.1801,False,0.3647,False,0.4534,chembl34_full,False,0.3647
L1000,L1002,[nH]1c5c(c(c1C(c2ccccc2)C3=C(C(CC3=O)c4ccccc4)O)CCNC(=O)C)ccc(c5)CC,0.4204,False,0.3845,False,0.3845,False,0.3,False,0.2683,False,0.2856,False,0.2568,False,0.2856,False,0.3784,False,0.3333,False,0.2737,False,0.2159,False,0.156,False,0.2964,False,0.4204,chembl34_full,False,0.3333
L1000,L1003,FC(F)(F)c1c(ccc(c1)-c2ccncc2)NS(=O)(=O)c3sc4c(c3C)cc(cc4)F,0.5161,False,0.5151,False,0.5073,False,0.3472,False,0.2976,False,0.3013,False,0.3013,False,0.3013,False,0.3433,False,0.3472,False,0.3462,False,0.2837,False,0.2106,False,0.5073,False,0.5161,chembl34_full,False,0.5073
L1000,L1004,Fc4cc1c([nH]c(c1C(C)C)C(c2ccccc2)C3=C(C(NC3=O)C(C)C)O)cc4,0.3999,False,0.3999,False,0.3999,False,0.2876,False,0.2974,False,0.2585,False,0.2435,False,0.2876,False,0.375,False,0.3823,False,0.321,False,0.2788,False,0.1932,False,0.3188,False,0.3999,chembl34_full,False,0.3823
L1000,L1005,Fc4cc1c(n(c(c1CNC(=O)OC)C(=O)O)Cc2c3c(ccc2)cccc3)cc4,0.522,False,0.4861,False,0.4153,False,0.3635,False,0.3416,False,0.3416,False,0.3276,False,0.3635,False,0.4099,False,0.3635,False,0.3411,False,0.342,False,0.1827,False,0.3789,False,0.522,chembl34_full,False,0.3789
L1000,L1006,[nH]1c5c(c(c1C(c2ccccc2)C3=C(C(C3=O)(C)c4ccc(cc4)C)O)CC(NC(=O)C)(C)C)ccc(c5)C,0.3501,False,0.3501,False,0.3501,False,0.2361,False,0.2333,False,0.2333,False,0.2354,False,0.2361,False,0.3076,False,0.2534,False,0.2786,False,0.2073,False,0.1759,False,0.2764,False,0.3501,chembl34_full,False,0.2786
L1000,L1007,OC1=C(C(=O)C1(C)c2ccccc2)C(c3cc4c(cc3)cccc4)c5ccccc5,0.415,False,0.4092,False,0.3914,False,0.3022,False,0.2834,False,0.3022,False,0.3022,False,0.3022,False,0.3469,False,0.3403,False,0.2788,False,0.209,False,0.1482,False,0.3584,False,0.415,chembl34_full,False,0.3584
L1000,L1008,s1c5c(c(c1C(c2ccccc2)C3=C(C(C3=O)(C)c4ccccc4)O)C)cc(cc5)C,0.3621,False,0.3389,False,0.3279,False,0.2333,False,0.2297,False,0.2333,False,0.228,False,0.2656,False,0.2903,False,0.25,False,0.2739,False,0.2295,False,0.1494,False,0.2881,False,0.3621,chembl34_full,False,0.2881
L1000,L1009,Fc5cc1c([nH]c(c1C)[C@H](c2ccccc2)C3=C([C@H](OC3=O)Cc4ccccc4)O)cc5,0.3896,False,0.3872,False,0.3872,False,0.2698,False,0.2856,False,0.2593,False,0.2593,False,0.2739,False,0.3333,False,0.3333,False,0.3057,False,0.2461,False,0.2135,False,0.3662,False,0.3896,chembl34_full,False,0.3662
L1000,L1010,Fc1cc2c(cc1)cccc2Cn3c4c(cc3C(=O)O)cccc4,0.5776,False,0.5776,False,0.5776,False,0.4695,False,0.3809,False,0.4695,False,0.3809,False,0.4695,False,0.4905,False,0.3809,False,0.3235,False,0.3044,False,0.1866,False,0.5,False,0.5776,chembl34_full,False,0.5
L1000,L1011,Fc4cc1c(n(c(c1CC(=O)N(C)C)C(=O)O)Cc2c3c(ccc2)cccc3)cc4,0.4714,False,0.4478,False,0.4478,False,0.3677,False,0.3286,False,0.3677,False,0.3635,False,0.3677,False,0.3699,False,0.3635,False,0.3193,False,0.3333,False,0.1786,False,0.3906,False,0.4714,chembl34_full,False,0.3906
L1000,L1012,Fc3cc1c(sc(c1C)S(=O)(=O)Nc2c(cc(cc2)C(=O)OC)S(=O)(=O)C)cc3,1.0,True,1.0,True,1.0,True,0.3521,False,0.2986,False,0.3152,False,0.3057,False,0.3152,False,0.4153,False,0.3521,False,0.3333,False,0.3057,False,0.2,False,0.8184,False,1.0,chembl34_full,True,0.8184
L1000,L1013,n1(c4c(c(c1C(=O)O)Cc2c3c(ccc2)cccc3)cccc4)CCOC,0.5,False,0.4753,False,0.4753,False,0.3877,False,0.3684,False,0.3572,False,0.3877,False,0.3877,False,0.3999,False,0.3877,False,0.3538,False,0.4531,False,0.1848,False,0.4138,False,0.5,chembl34_full,False,0.4531
L1000,L1014,n1(c2c(cc1C(=O)O)cccc2)Cc3c4c(ccc3)cccc4C,0.6045,False,0.6045,False,0.6045,False,0.3999,False,0.3809,False,0.3999,False,0.3708,False,0.3999,False,0.5098,False,0.3809,False,0.3333,False,0.3333,False,0.1954,False,0.4138,False,0.6045,chembl34_full,False,0.4138
L1000,L1015,Fc4cc1c(sc(c1C)S(=O)(=O)Nc2c(cc(cc2)-c3ccncc3)S(=O)(=O)C)cc4,0.6777,False,0.6777,False,0.6665,False,0.3521,False,0.3171,False,0.3057,False,0.3057,False,0.3057,False,0.323,False,0.3521,False,0.3625,False,0.2876,False,0.2134,False,0.6665,False,0.6777,chembl34_full,False,0.6665
