corpus,series,ligand_id,casp16_pKd,corpus_label,n_rows
chembl34,L1000,L1012,7.61546061369503,7.25,1
chembl34,L3000,L3047,8.760049025974784,8.66,1
bindingdb,L1000,L1012,7.61546061369503,7.251811972993799,1
bindingdb,L3000,L3228,7.343034903368571,7.795880017344075,1
bindingdb,L3000,L3211,8.034581711824712,8.045757490560675,1
bindingdb,L3000,L3214,8.912732490279392,7.958607314841775,1
bindingdb,L3000,L3218,8.732687745683226,7.568636235841012,1
bindingdb,L3000,L3196,8.380249093680245,8.221848749616356,1
bindingdb,L3000,L3047,8.760049025974784,8.71356419889976,2
bindingdb,L3000,L3217,8.462849568921952,8.154901959985743,1
bindingdb,L3000,L3226,7.04943026972131,8.397940008672037,1
bindingdb,L3000,L3009,8.78778638495948,8.42021640338319,1
bindingdb,L3000,L3225,8.252595260742934,8.154901959985743,1
bindingdb,L3000,L3224,6.903884336947671,8.397940008672037,1
bindingdb,L3000,L3197,8.301624794495737,8.154901959985743,1
bindingdb,L3000,L3230,7.725417734675093,7.443697499232712,1
bindingdb,L3000,L3212,8.111714122999954,7.769551078621726,1
bindingdb,L3000,L3219,8.24216875115636,8.301029995663981,1
bindingdb,L3000,L3213,8.9394258758866,7.839926856944473,2
bindingdb,L3000,L3223,8.278955233416664,7.686132779630847,1
bindingdb,L3000,L3222,6.6050448475381245,8.698970004336019,1
bindingdb,L3000,L3229,8.446644473622147,8.096910013008056,1
bindingnet,L1000,L1012,7.61546061369503,7.25,1
bindingnet,L3000,L3047,8.760049025974784,8.66,1
sair,L3000,L3218,8.732687745683226,7.5686364,5
sair,L3000,L3196,8.380249093680245,8.2218485,1
sair,L3000,L3217,8.462849568921952,8.1549015,5
sair,L3000,L3226,7.04943026972131,8.39794,4
sair,L3000,L3224,6.903884336947671,8.39794,3
sair,L3000,L3197,8.301624794495737,8.1549015,1
sair,L3000,L3212,8.111714122999954,7.7695513,1
sair,L3000,L3219,8.24216875115636,8.30103,4
sair,L3000,L3216,8.52020635596958,8.1549015,4
sair,L3000,L3213,8.9394258758866,7.7212462,1
sair,L3000,L3223,8.278955233416664,7.686133,5
sair,L3000,L3222,6.6050448475381245,8.69897,5
sair,L3000,L3229,8.446644473622147,8.09691,2
