Method,L1000,L3000,Weighted
bapred (af3),0.0,0.449,0.39447857142857146
bapred (boltz2),-0.015,0.347,0.3030428571428571
bapred (cluster_consensus),0.25,0.344,0.32947272727272725
boltz2 (boltz2),0.235,0.49,0.4585869565217391
deepdta (sequence),0.132,0.336,0.31122857142857147
flowdock (af3),0.118,0.346,0.3183142857142857
flowdock (boltz2),0.235,0.32,0.3096785714285714
flowdock (cluster_consensus),0.162,0.285,0.2659909090909091
flowr_root (af3),0.088,0.486,0.4376714285714286
haiping (af3),0.25,0.444,0.4204428571428572
haiping (haiping),0.294,0.444,0.42578571428571427
haiping (cluster_consensus),0.206,0.401,0.3708636363636364
llf (sequence),-0.059,0.433,0.37325714285714284
mfe (mfe_af3),0.265,0.409,0.3915142857142857
mfe (mfe),0.25,0.293,0.2877785714285714
mfe (mfe_cluster_consensus),0.221,0.386,0.3605
mixingdta (sequence),0.074,0.414,0.3727142857142857
