Target_class,n_targets,n_compounds,Boltz2,FlowDock,FLOWR.ROOT,Graph_RG,LCDD team,MFE,Deepdta,LLF,Mixingdta,Ensemble
Kinase,23,1949,0.3596,0.1566,0.4747,0.1224,0.1544,0.2095,0.1127,0.1753,0.1619,0.4765
Transferase,6,1103,0.3221,0.1243,0.3938,0.1108,0.2017,0.1298,0.2184,0.265,0.1226,0.3926
Lyase,5,1034,0.3102,0.1602,0.5021,0.202,0.1762,0.1196,0.142,0.1201,0.2453,0.452
Epigenetic regulator,8,976,0.4822,0.1413,0.4756,0.1144,0.1647,0.1887,0.1098,0.2956,0.1227,0.527
Hydrolase,9,814,0.3122,0.2467,0.4667,0.0653,0.3108,0.2935,0.22,0.2658,0.2078,0.439
Family A GPCR,14,721,0.4316,0.0535,0.5237,0.0874,-0.0199,0.1464,0.0674,0.2854,0.0955,0.5892
Oxidoreductase,4,293,0.2094,0.3402,0.4899,0.1244,0.0647,0.134,0.0093,-0.0823,0.0195,0.4219
Transcription factor,5,209,-0.2046,0.0928,0.0219,0.0013,-0.0957,0.1522,-0.2814,-0.1389,-0.2404,-0.1362
Unclassified,4,205,0.2573,0.1415,0.3141,0.2145,0.1825,0.1141,0.3379,0.3063,0.3318,0.3189
Ion channel,2,152,0.2015,-0.0985,0.0699,-0.0139,-0.0496,-0.0635,0.0374,-0.0046,0.0655,0.1823
Protease,3,96,0.5224,0.1583,0.417,0.2474,0.1428,0.0682,0.1691,0.2798,0.26,0.5532
Other nuclear,1,94,0.801,0.753,0.878,0.443,0.745,0.741,0.785,0.792,0.833,0.8966
Transporter,1,83,0.153,0.436,0.263,0.126,-0.088,0.054,-0.029,0.104,0.013,0.2718
Cytochrome P450,1,56,-0.582,-0.746,-0.325,-0.734,-0.561,-0.556,-0.687,-0.613,-0.729,-0.5421
Phosphatase,1,42,0.436,0.676,0.598,0.477,0.583,0.542,0.584,0.055,0.689,0.5553
