Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
boltz2,C7C422,Hydrolase,22,1.702,2.896,-0.059,-0.012,-0.026,0.487,0.001
boltz2,O00444,Kinase,92,1.672,2.795,0.555,0.49,0.327,0.664,0.169
boltz2,O43570,Lyase,189,0.863,0.745,0.057,0.027,0.016,0.508,0.001
boltz2,O60341,Epigenetic regulator,70,1.202,1.444,0.147,0.102,0.066,0.533,0.003
boltz2,O60674,Kinase,22,0.69,0.476,0.378,0.24,0.148,0.575,0.081
boltz2,O60885,Epigenetic regulator,175,1.787,3.193,0.623,0.622,0.439,0.719,0.381
boltz2,O75116,Kinase,43,1.023,1.046,0.163,0.115,0.062,0.531,0.018
boltz2,O75874,Oxidoreductase,27,1.459,2.129,0.491,0.485,0.346,0.673,0.208
boltz2,O94925,Hydrolase,73,0.588,0.346,0.31,0.318,0.203,0.602,0.045
boltz2,O96028,Epigenetic regulator,30,0.654,0.428,0.191,0.055,-0.002,0.499,0.01
boltz2,P00533,Kinase,102,1.074,1.154,0.292,0.256,0.172,0.586,0.015
boltz2,P00915,Lyase,240,1.122,1.258,0.465,0.456,0.313,0.657,0.167
boltz2,P00918,Lyase,256,1.216,1.477,0.297,0.306,0.217,0.609,0.037
boltz2,P01116,Hydrolase,32,2.989,8.935,0.489,0.64,0.453,0.727,0.169
boltz2,P03372,Transcription factor,64,2.11,4.452,-0.664,-0.708,-0.543,0.227,-0.301
boltz2,P04629,Kinase,19,1.236,1.527,0.073,0.082,0.064,0.532,0.002
boltz2,P06276,Hydrolase,112,1.024,1.049,0.308,0.323,0.226,0.614,0.051
boltz2,P07333,Kinase,25,1.176,1.382,0.618,0.677,0.499,0.751,0.362
boltz2,P08183,Transporter,83,1.183,1.4,0.153,0.173,0.116,0.558,0.009
boltz2,P08684,Cytochrome p450,36,1.494,2.232,-0.5,-0.52,-0.353,0.323,-0.102
boltz2,P08908,Family A G protein-coupled receptor,46,1.458,2.126,0.799,0.764,0.541,0.771,0.503
boltz2,P0DTD1,Transferase,698,1.303,1.697,0.277,0.277,0.19,0.595,0.049
boltz2,P10275,Transcription factor,36,0.945,0.893,-0.02,-0.057,-0.049,0.475,-0.0
boltz2,P14416,Family A G protein-coupled receptor,126,1.333,1.777,0.319,0.297,0.195,0.598,0.082
boltz2,P17931,Unclassified protein,37,2.056,4.228,-0.304,-0.287,-0.188,0.406,-0.053
boltz2,P21728,Family A G protein-coupled receptor,18,1.319,1.741,-0.054,-0.125,-0.072,0.464,0.002
boltz2,P22303,Hydrolase,102,1.374,1.888,0.564,0.553,0.394,0.698,0.295
boltz2,P23458,Kinase,43,1.517,2.303,0.6,0.598,0.407,0.704,0.34
boltz2,P24941,Kinase,30,0.719,0.517,0.473,0.46,0.329,0.664,0.144
boltz2,P27338,Oxidoreductase,91,1.31,1.717,0.346,0.311,0.22,0.61,0.09
boltz2,P28223,Family A G protein-coupled receptor,54,1.523,2.321,0.531,0.425,0.304,0.652,0.237
boltz2,P28335,Family A G protein-coupled receptor,22,1.815,3.295,0.365,0.331,0.248,0.624,0.002
boltz2,P28907,Hydrolase|Transferase,12,1.94,3.765,0.113,0.119,0.154,0.578,0.005
boltz2,P29274,Family A G protein-coupled receptor,40,1.649,2.718,-0.13,-0.227,-0.137,0.431,-0.0
boltz2,P29597,Kinase,21,0.972,0.946,0.342,0.408,0.309,0.657,0.089
boltz2,P31153,Transferase,33,0.776,0.602,0.588,0.55,0.392,0.697,0.131
boltz2,P34972,Family A G protein-coupled receptor,27,1.655,2.738,0.048,0.02,-0.014,0.493,0.001
boltz2,P35372,Family A G protein-coupled receptor,34,1.109,1.231,0.352,0.244,0.153,0.577,0.072
boltz2,P35408,Family A G protein-coupled receptor,54,1.065,1.135,0.654,0.609,0.438,0.724,0.391
boltz2,P35462,Family A G protein-coupled receptor,65,1.353,1.831,0.741,0.64,0.479,0.74,0.371
boltz2,P36544,Ion channel,31,1.143,1.305,0.018,0.045,0.011,0.505,-0.0
boltz2,P37231,Transcription factor,15,1.741,3.031,0.552,0.476,0.356,0.68,0.047
boltz2,P41143,Family A G protein-coupled receptor,41,1.361,1.851,0.661,0.459,0.306,0.654,0.222
boltz2,P41145,Family A G protein-coupled receptor,34,1.19,1.416,0.538,0.526,0.38,0.69,0.258
boltz2,P42330,Oxidoreductase,60,0.823,0.677,0.059,0.052,0.046,0.523,0.0
boltz2,P42336,Transferase,38,1.404,1.97,0.396,0.381,0.267,0.634,0.09
boltz2,P42345,Kinase,52,1.381,1.907,0.266,0.311,0.217,0.609,0.028
boltz2,P42866,Family A G protein-coupled receptor,32,0.919,0.845,0.376,0.446,0.307,0.654,0.068
boltz2,P43166,Lyase,116,0.741,0.55,0.549,0.518,0.373,0.687,0.11
boltz2,P43490,Unclassified protein,17,2.14,4.58,0.787,0.524,0.403,0.705,0.527
boltz2,P49759,Kinase,20,0.681,0.463,0.366,0.343,0.275,0.638,0.059
