Model,N_total,N_targets,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2,Pearson_lo,Pearson_hi,Spearman_lo,Spearman_hi,CI_lo,CI_hi
ensemble,4862,71,0.9885,1.063,0.4095,0.3883,0.2758,0.6382,0.1735,0.3464,0.4761,0.323,0.4536,0.6136,0.6613
flowr_root,4862,71,0.9284,0.9313,0.3924,0.3743,0.2643,0.6325,0.1678,0.326,0.463,0.308,0.4345,0.6064,0.6583
boltz2,4862,71,1.2482,1.6918,0.3213,0.3024,0.2108,0.6057,0.0979,0.2613,0.3839,0.2398,0.3635,0.5839,0.6279
llf,4862,71,1.4619,2.5034,0.2119,0.2085,0.1437,0.572,0.072,0.1459,0.2702,0.1405,0.2672,0.5487,0.5935
flowdock,4862,71,1.3692,2.216,0.188,0.1726,0.1203,0.5604,0.0514,0.135,0.2426,0.117,0.2278,0.5405,0.5794
mfe,4862,71,1.2124,1.626,0.1765,0.1617,0.1112,0.5558,0.0477,0.12,0.225,0.0979,0.2194,0.5331,0.5751
mixingdta,4862,71,1.2719,1.8139,0.1728,0.1618,0.1116,0.5559,0.0479,0.1134,0.2242,0.1042,0.2132,0.5348,0.5745
bapred,4862,71,1.2214,1.6357,0.1575,0.1313,0.0906,0.5454,0.0384,0.0678,0.2285,0.0547,0.1902,0.521,0.5675
deepdta,4862,71,1.3934,2.1655,0.1533,0.1515,0.1031,0.5515,0.0447,0.0821,0.2133,0.0849,0.209,0.5264,0.5732
haiping,4862,71,1.3405,1.9731,0.1461,0.1276,0.0886,0.5444,0.0354,0.0851,0.1958,0.0691,0.1758,0.5238,0.5613
