compound_id,ik,hit_full,hit_skel,Compound_structural_similarity
C7C422_CHEMBL5428850,RUSLTQLNAFCZJP-UHFFFAOYSA-N,False,False,0.328767121
C7C422_CHEMBL5417591,FBRVECRAOOLMLO-UHFFFAOYSA-N,False,False,0.666666687
C7C422_CHEMBL5439975,LCQOMXBTAAQLRZ-IHLOFXLRSA-N,False,False,0.512499988
C7C422_CHEMBL5417195,USOJPABECAQUJW-UHFFFAOYSA-N,False,False,0.615384638
C7C422_CHEMBL5432778,LLTLJSURKGTADB-UHFFFAOYSA-N,False,False,0.571428597
C7C422_CHEMBL5413714,IKDJWDPDARQWIM-UHFFFAOYSA-N,False,False,0.609756112
C7C422_CHEMBL5437131,FTDKHRWQIXFACU-UHFFFAOYSA-N,False,False,0.647058845
C7C422_CHEMBL5410303,DWXRKJQWAJZRLN-DZGCQCFKSA-N,False,False,0.607142866
C7C422_CHEMBL5403178,GWZCWOCZUUQBLU-UHFFFAOYSA-N,False,False,0.4909091
C7C422_CHEMBL5427511,KEECUMCHPGTDME-UHFFFAOYSA-N,False,False,0.473684222
C7C422_CHEMBL5423006,OOCACROBJBSFKD-UHFFFAOYSA-N,False,False,0.482142866
C7C422_CHEMBL5436726,ZAUDQQCHQKHASH-UHFFFAOYSA-N,False,False,0.454545468
C7C422_CHEMBL5402652,ZSDPUHQSDDRLLO-UHFFFAOYSA-N,False,False,0.508196712
C7C422_CHEMBL5435754,UTNUXGZIGPLVCT-UHFFFAOYSA-N,False,False,0.615384638
C7C422_CHEMBL5432742,HQNNGIBVRNABEV-UHFFFAOYSA-N,False,False,0.653061211
C7C422_CHEMBL5413366,DZTZYHDXTIOQHM-ZLUOBGJFSA-N,False,False,0.65625
C7C422_CHEMBL5429713,BJHXNAXTSQPPSD-UHFFFAOYSA-N,False,False,0.533333361
C7C422_CHEMBL5394208,BBOUPYMNHDAICT-UHFFFAOYSA-N,False,False,0.431034476
C7C422_CHEMBL5409129,OVJIBQOQPPDQLL-UHFFFAOYSA-N,False,False,0.5
C7C422_CHEMBL5431449,SAHAOHMILLDOBW-UHFFFAOYSA-N,False,False,0.518518507
C7C422_CHEMBL5424977,WSWBHNPBVWQEPT-UHFFFAOYSA-N,False,False,0.519230783
C7C422_CHEMBL5412136,LGBOMUSLUSLDRJ-UHFFFAOYSA-N,False,False,0.620000005
C7C422_CHEMBL5412587,ZVBMUQQHDZWDTJ-XYXHBKGXSA-N,False,False,0.841463387
C7C422_CHEMBL5436857,PFQBEDJPKLXGNR-UHFFFAOYSA-N,False,False,0.533333361
C7C422_CHEMBL5421632,SJMAMUVOWFLONY-UHFFFAOYSA-N,False,False,0.549019635
C7C422_CHEMBL5416932,NZFAMJPOAOSCJZ-UHFFFAOYSA-N,False,False,0.473684222
C7C422_CHEMBL5409968,SFMVCYCXQXRLNG-UHFFFAOYSA-N,False,False,0.528301895
C7C422_CHEMBL5424619,UYVPXCNOMCMGIC-UHFFFAOYSA-N,False,False,0.70588237
C7C422_CHEMBL5426400,FIGXELLHJLGYNS-UHFFFAOYSA-N,False,False,0.536585391
C7C422_CHEMBL5414788,BNPCWVNMJCNXJD-UHFFFAOYSA-N,False,False,0.644444466
C7C422_CHEMBL5423672,UHAMZYXMSNFAFQ-UHFFFAOYSA-N,False,False,0.645833313
C7C422_CHEMBL5434080,WGYJUNSCNPKAQX-UHFFFAOYSA-N,False,False,0.745762706
C7C422_CHEMBL5418994,NDFVALQBDGMWPS-UHFFFAOYSA-N,False,False,0.630434811
C7C422_CHEMBL5393815,MBDYLZUEFCKDAX-UHFFFAOYSA-N,False,False,0.645833313
C7C422_CHEMBL5408921,HIAAGYRBQKNAAU-UHFFFAOYSA-N,False,False,0.571428597
C7C422_CHEMBL5415172,BYYMGSTVXNKGDA-UHFFFAOYSA-N,False,False,0.711538434
C7C422_CHEMBL5405077,XMNZEIUPHBPJCO-UHFFFAOYSA-N,False,False,0.714285731
C7C422_CHEMBL5394233,OSRHNSGKFNHCEH-UHFFFAOYSA-N,False,False,0.638297856
C7C422_CHEMBL5421999,AWMIKVVMSSOIGV-UHFFFAOYSA-N,False,False,0.681818187
C7C422_CHEMBL5437270,BMLFSBIYIPWZDN-UHFFFAOYSA-N,False,False,0.699999988
C7C422_CHEMBL5421395,UMQAFGOYCDMJFF-UHFFFAOYSA-N,False,False,0.741935492
C7C422_CHEMBL5437627,ZKYOCUYUBWTSTE-UHFFFAOYSA-N,False,False,0.636363626
C7C422_CHEMBL5401063,ODAQAAFTKILOCB-UHFFFAOYSA-N,False,False,0.609756112
C7C422_CHEMBL5395915,UEKLXEJUNJYXDF-UHFFFAOYSA-N,False,False,0.523809552
C7C422_CHEMBL5421154,XAYQXGSPVFHWHG-UHFFFAOYSA-N,False,False,0.736842096
