compound_id,simstd_davis3d,ik1_davis3d
C7C422_CHEMBL5428850,0.1743,False
C7C422_CHEMBL5417591,0.125,False
C7C422_CHEMBL5439975,0.2441,False
C7C422_CHEMBL5417195,0.1837,False
C7C422_CHEMBL5432778,0.2073,False
C7C422_CHEMBL5413714,0.1897,False
C7C422_CHEMBL5437131,0.196,False
C7C422_CHEMBL5410303,0.183,False
C7C422_CHEMBL5403178,0.2029,False
C7C422_CHEMBL5427511,0.2236,False
C7C422_CHEMBL5423006,0.25,False
C7C422_CHEMBL5436726,0.1974,False
C7C422_CHEMBL5402652,0.2539,False
C7C422_CHEMBL5435754,0.2236,False
C7C422_CHEMBL5432742,0.1635,False
C7C422_CHEMBL5413366,0.1071,False
C7C422_CHEMBL5429713,0.2118,False
C7C422_CHEMBL5394208,0.1882,False
C7C422_CHEMBL5409129,0.1729,False
C7C422_CHEMBL5431449,0.1948,False
C7C422_CHEMBL5424977,0.1548,False
C7C422_CHEMBL5412136,0.2142,False
C7C422_CHEMBL5412587,0.1693,False
C7C422_CHEMBL5436857,0.2118,False
C7C422_CHEMBL5421632,0.2169,False
C7C422_CHEMBL5416932,0.2222,False
C7C422_CHEMBL5409968,0.2125,False
C7C422_CHEMBL5424619,0.1882,False
C7C422_CHEMBL5426400,0.175,False
C7C422_CHEMBL5414788,0.1923,False
C7C422_CHEMBL5423672,0.2222,False
C7C422_CHEMBL5434080,0.1714,False
C7C422_CHEMBL5418994,0.2125,False
C7C422_CHEMBL5393815,0.2222,False
C7C422_CHEMBL5408921,0.2,False
C7C422_CHEMBL5415172,0.172,False
C7C422_CHEMBL5405077,0.1729,False
C7C422_CHEMBL5394233,0.2113,False
C7C422_CHEMBL5421999,0.1923,False
C7C422_CHEMBL5437270,0.1698,False
C7C422_CHEMBL5421395,0.1875,False
C7C422_CHEMBL5437627,0.2195,False
C7C422_CHEMBL5401063,0.2206,False
C7C422_CHEMBL5395915,0.1884,False
C7C422_CHEMBL5421154,0.2361,False
C7C422_CHEMBL5396318,0.1971,False
C7C422_CHEMBL5431286,0.183,False
C7C422_CHEMBL5425633,0.2051,False
C7C422_CHEMBL5413869,0.1898,False
O00444_CHEMBL5415514,0.2179,False
O00444_CHEMBL5406293,0.2532,False
O00444_CHEMBL5408339,0.2279,False
O00444_CHEMBL5428085,0.2637,False
O00444_CHEMBL5438941,0.2111,False
O00444_CHEMBL5409987,0.2325,False
O00444_CHEMBL5427137,0.2573,False
O00444_CHEMBL5427658,0.2323,False
O00444_CHEMBL5410628,0.2354,False
O00444_CHEMBL5407680,0.2262,False
O00444_CHEMBL5418921,0.2307,False
O00444_CHEMBL5441117,0.2476,False
O00444_CHEMBL5396900,0.2563,False
O00444_CHEMBL5438910,0.2651,False
O00444_CHEMBL5399402,0.3367,False
O00444_CHEMBL5416099,0.3267,False
O00444_CHEMBL5439625,0.2556,False
O00444_CHEMBL5394160,0.261,False
O00444_CHEMBL5440186,0.325,False
O00444_CHEMBL5407899,0.23,False
O00444_CHEMBL5399219,0.2273,False
O00444_CHEMBL5439296,0.2474,False
O00444_CHEMBL5401624,0.2181,False
O00444_CHEMBL5433061,0.2471,False
O00444_CHEMBL5439723,0.2954,False
O00444_CHEMBL5434198,0.2703,False
O00444_CHEMBL5424061,0.283,False
O00444_CHEMBL5401850,0.2566,False
O00444_CHEMBL5432215,0.2705,False
O00444_CHEMBL5437830,0.301,False
O00444_CHEMBL5438958,0.3022,False
O00444_CHEMBL5423452,0.2954,False
O00444_CHEMBL5404860,0.3176,False
O00444_CHEMBL5440423,0.3132,False
O00444_CHEMBL5437782,0.3333,False
O00444_CHEMBL5421379,0.2698,False
O00444_CHEMBL5410573,0.2637,False
O00444_CHEMBL5410589,0.2842,False
O00444_CHEMBL5395499,0.29,False
O00444_CHEMBL5411283,0.2988,False
O00444_CHEMBL5394214,0.2976,False
O00444_CHEMBL5424982,0.2842,False
O00444_CHEMBL5409586,0.2842,False
O00444_CHEMBL5430398,0.3176,False
O00444_CHEMBL5415639,0.2666,False
O00444_CHEMBL5431124,0.2698,False
O00444_CHEMBL5440224,0.261,False
O00444_CHEMBL5420676,0.2908,False
O00444_CHEMBL5439579,0.2698,False
O00444_CHEMBL5421662,0.2908,False
O00444_CHEMBL5424261,0.2476,False
O00444_CHEMBL5420664,0.2375,False
O00444_CHEMBL5418913,0.24,False
O00444_CHEMBL5407522,0.875,False
O00444_CHEMBL5397303,0.2546,False
O00444_CHEMBL5432162,0.2407,False
O00444_CHEMBL5400736,0.2661,False
O00444_CHEMBL5426828,0.271,False
O00444_CHEMBL5404983,0.2433,False
O00444_CHEMBL5432542,0.2646,False
O00444_CHEMBL5399648,0.2389,False
O00444_CHEMBL5420150,0.2612,False
O00444_CHEMBL5402864,0.2546,False
O00444_CHEMBL5439790,0.2637,False
O00444_CHEMBL5423111,0.2925,False
O00444_CHEMBL5408496,0.2981,False
O00444_CHEMBL5425999,0.2751,False
O00444_CHEMBL5424704,0.2952,False
O00444_CHEMBL5439446,0.2612,False
O00444_CHEMBL5420852,0.2769,False
O00444_CHEMBL5435158,0.2661,False
O00444_CHEMBL5424463,0.2881,False
O00444_CHEMBL5429187,0.25,False
O00444_CHEMBL5429940,0.252,False
O00444_CHEMBL5397250,0.2856,False
O00444_CHEMBL5435416,0.2546,False
O00444_CHEMBL5409434,0.2737,False
O00444_CHEMBL5438019,0.2546,False
O00444_CHEMBL5430106,0.2336,False
O00444_CHEMBL5418250,0.2264,False
O00444_CHEMBL5429009,0.2573,False
O00444_CHEMBL5396416,0.2476,False
O00444_CHEMBL5425790,0.2452,False
O00444_CHEMBL5405656,0.2285,False
O00444_CHEMBL5420682,0.248,False
O00444_CHEMBL5433109,0.25,False
O00444_CHEMBL5410922,0.2542,False
O00444_CHEMBL5435903,0.2542,False
O00444_CHEMBL5423103,0.2307,False
O00444_CHEMBL5434630,0.2325,False
