compound_id,target,sim_same_target,std_union
C7C422_CHEMBL5428850,C7C422,1.0,1.0
C7C422_CHEMBL5417591,C7C422,0.3447,0.6665
C7C422_CHEMBL5439975,C7C422,0.3501,0.5127
C7C422_CHEMBL5417195,C7C422,1.0,1.0
C7C422_CHEMBL5432778,C7C422,0.7754,0.7754
C7C422_CHEMBL5413714,C7C422,0.75,0.75
C7C422_CHEMBL5437131,C7C422,0.6069,0.6562
C7C422_CHEMBL5410303,C7C422,0.2837,0.6069
C7C422_CHEMBL5403178,C7C422,1.0,1.0
C7C422_CHEMBL5427511,C7C422,1.0,1.0
C7C422_CHEMBL5423006,C7C422,0.7886,0.7886
C7C422_CHEMBL5436726,C7C422,1.0,1.0
C7C422_CHEMBL5402652,C7C422,1.0,1.0
C7C422_CHEMBL5435754,C7C422,1.0,1.0
C7C422_CHEMBL5432742,C7C422,1.0,1.0
C7C422_CHEMBL5413366,C7C422,0.6562,0.6562
C7C422_CHEMBL5429713,C7C422,1.0,1.0
C7C422_CHEMBL5394208,C7C422,0.2236,0.4312
C7C422_CHEMBL5409129,C7C422,0.2461,0.5
C7C422_CHEMBL5431449,C7C422,0.2211,0.5186
C7C422_CHEMBL5424977,C7C422,0.1866,0.519
C7C422_CHEMBL5412136,C7C422,0.5869,0.6201
C7C422_CHEMBL5412587,C7C422,1.0,1.0
C7C422_CHEMBL5436857,C7C422,1.0,1.0
C7C422_CHEMBL5421632,C7C422,1.0,1.0
C7C422_CHEMBL5416932,C7C422,1.0,1.0
C7C422_CHEMBL5409968,C7C422,1.0,1.0
C7C422_CHEMBL5424619,C7C422,1.0,1.0
C7C422_CHEMBL5426400,C7C422,1.0,1.0
C7C422_CHEMBL5414788,C7C422,1.0,1.0
C7C422_CHEMBL5423672,C7C422,1.0,1.0
C7C422_CHEMBL5434080,C7C422,1.0,1.0
C7C422_CHEMBL5418994,C7C422,1.0,1.0
C7C422_CHEMBL5393815,C7C422,1.0,1.0
C7C422_CHEMBL5408921,C7C422,1.0,1.0
C7C422_CHEMBL5415172,C7C422,1.0,1.0
C7C422_CHEMBL5405077,C7C422,1.0,1.0
C7C422_CHEMBL5394233,C7C422,1.0,1.0
C7C422_CHEMBL5421999,C7C422,1.0,1.0
C7C422_CHEMBL5437270,C7C422,1.0,1.0
C7C422_CHEMBL5421395,C7C422,0.2639,0.7417
C7C422_CHEMBL5437627,C7C422,0.3125,0.7075
C7C422_CHEMBL5401063,C7C422,0.3269,0.6138
C7C422_CHEMBL5395915,C7C422,0.3137,0.5239
C7C422_CHEMBL5421154,C7C422,0.2952,0.7368
C7C422_CHEMBL5396318,C7C422,0.2458,0.4644
C7C422_CHEMBL5431286,C7C422,0.25,0.4194
C7C422_CHEMBL5425633,C7C422,0.2424,0.5928
C7C422_CHEMBL5413869,C7C422,0.2413,0.5645
O00444_CHEMBL5415514,O00444,0.4761,0.5659
O00444_CHEMBL5406293,O00444,0.4478,0.5347
O00444_CHEMBL5408339,O00444,0.4614,0.582
O00444_CHEMBL5428085,O00444,0.5815,1.0
O00444_CHEMBL5438941,O00444,0.3286,0.7617
O00444_CHEMBL5409987,O00444,0.3374,0.7998
O00444_CHEMBL5427137,O00444,0.3374,1.0
O00444_CHEMBL5427658,O00444,0.3972,0.8071
O00444_CHEMBL5410628,O00444,0.3086,0.7666
O00444_CHEMBL5407680,O00444,0.3076,1.0
O00444_CHEMBL5418921,O00444,0.5293,1.0
O00444_CHEMBL5441117,O00444,0.325,0.7666
O00444_CHEMBL5396900,O00444,0.5679,1.0
O00444_CHEMBL5438910,O00444,0.4768,0.5356
O00444_CHEMBL5399402,O00444,0.3333,1.0
O00444_CHEMBL5416099,O00444,0.3608,0.8428
O00444_CHEMBL5439625,O00444,0.3445,0.7969
O00444_CHEMBL5394160,O00444,0.3264,0.7163
O00444_CHEMBL5440186,O00444,0.4729,0.5908
O00444_CHEMBL5407899,O00444,0.3181,0.8071
O00444_CHEMBL5399219,O00444,0.5,0.5659
O00444_CHEMBL5439296,O00444,0.3232,0.3896
O00444_CHEMBL5401624,O00444,0.7051,1.0
O00444_CHEMBL5433061,O00444,0.3562,0.7744
O00444_CHEMBL5439723,O00444,0.3691,0.8306
O00444_CHEMBL5434198,O00444,0.647,1.0
O00444_CHEMBL5424061,O00444,0.3647,0.8184
O00444_CHEMBL5401850,O00444,0.6396,1.0
O00444_CHEMBL5432215,O00444,0.2976,0.8252
O00444_CHEMBL5437830,O00444,0.3257,0.7881
O00444_CHEMBL5438958,O00444,0.3779,0.8569
O00444_CHEMBL5423452,O00444,0.3796,0.8306
O00444_CHEMBL5404860,O00444,0.3779,0.8569
O00444_CHEMBL5440423,O00444,0.3923,0.8999
O00444_CHEMBL5437782,O00444,0.395,0.8569
O00444_CHEMBL5421379,O00444,0.3735,0.8438
O00444_CHEMBL5410573,O00444,0.4285,0.8184
O00444_CHEMBL5410589,O00444,0.3735,0.8438
O00444_CHEMBL5395499,O00444,0.3975,0.915
O00444_CHEMBL5411283,O00444,0.3901,0.8438
O00444_CHEMBL5394214,O00444,0.375,1.0
O00444_CHEMBL5424982,O00444,0.3735,0.8438
O00444_CHEMBL5409586,O00444,0.3572,0.8438
O00444_CHEMBL5430398,O00444,0.3613,0.8569
O00444_CHEMBL5415639,O00444,0.3691,0.8306
O00444_CHEMBL5431124,O00444,0.3735,1.0
O00444_CHEMBL5440224,O00444,0.3604,0.7856
O00444_CHEMBL5420676,O00444,0.3828,0.8711
O00444_CHEMBL5439579,O00444,0.3735,0.8208
O00444_CHEMBL5421662,O00444,0.366,1.0
O00444_CHEMBL5424261,O00444,0.3613,0.8252
O00444_CHEMBL5420664,O00444,0.3164,0.729
O00444_CHEMBL5418913,O00444,0.3457,0.7456
O00444_CHEMBL5407522,O00444,0.875,0.875
O00444_CHEMBL5397303,O00444,0.5542,1.0
O00444_CHEMBL5432162,O00444,0.625,1.0
O00444_CHEMBL5400736,O00444,0.6709,1.0
O00444_CHEMBL5426828,O00444,0.6875,1.0
O00444_CHEMBL5404983,O00444,0.6616,1.0
O00444_CHEMBL5432542,O00444,0.6528,1.0
O00444_CHEMBL5399648,O00444,0.5444,1.0
O00444_CHEMBL5420150,O00444,0.5933,1.0
O00444_CHEMBL5402864,O00444,0.6914,1.0
O00444_CHEMBL5439790,O00444,0.6001,1.0
O00444_CHEMBL5423111,O00444,0.6792,1.0
O00444_CHEMBL5408496,O00444,0.7632,1.0
O00444_CHEMBL5425999,O00444,0.6831,1.0
O00444_CHEMBL5424704,O00444,0.6875,1.0
O00444_CHEMBL5439446,O00444,0.6548,1.0
O00444_CHEMBL5420852,O00444,0.6323,1.0
O00444_CHEMBL5435158,O00444,0.6914,1.0
O00444_CHEMBL5424463,O00444,0.6626,1.0
O00444_CHEMBL5429187,O00444,0.6548,1.0
O00444_CHEMBL5429940,O00444,0.6113,0.8667
O00444_CHEMBL5397250,O00444,0.6963,1.0
O00444_CHEMBL5435416,O00444,0.6709,1.0
O00444_CHEMBL5409434,O00444,0.6963,1.0
O00444_CHEMBL5438019,O00444,0.6709,1.0
O00444_CHEMBL5430106,O00444,0.7236,1.0
O00444_CHEMBL5418250,O00444,0.7432,1.0
O00444_CHEMBL5429009,O00444,0.75,1.0
O00444_CHEMBL5396416,O00444,0.7104,1.0
O00444_CHEMBL5425790,O00444,0.7012,1.0
O00444_CHEMBL5405656,O00444,0.7295,1.0
O00444_CHEMBL5420682,O00444,0.5601,0.5601
O00444_CHEMBL5433109,O00444,0.5654,0.5654
O00444_CHEMBL5410922,O00444,0.5771,0.5771
O00444_CHEMBL5435903,O00444,0.5771,0.5771
O00444_CHEMBL5423103,O00444,0.5386,0.5386
O00444_CHEMBL5434630,O00444,0.5435,0.5435
O00444_CHEMBL5413470,O00444,0.5547,0.5547
O00444_CHEMBL5435948,O00444,0.5547,0.5547
O00444_CHEMBL5438512,O00444,0.5488,0.5488
O00444_CHEMBL5431008,O00444,0.5488,0.5488
O00444_CHEMBL5396799,O00444,0.5488,0.5488
O00444_CHEMBL5401859,O00444,0.5488,0.5488
O00444_CHEMBL5436294,O00444,0.5488,0.5488
O00444_CHEMBL5397574,O00444,0.5488,0.5488
O00444_CHEMBL5422161,O00444,0.5488,0.5488
O00444_CHEMBL5396625,O00444,0.5488,0.5488
O00444_CHEMBL5407696,O00444,0.5547,0.5547
O00444_CHEMBL5408998,O00444,0.5601,0.5601
O00444_CHEMBL5402930,O00444,0.5386,0.5386
O00444_CHEMBL5440306,O00444,0.5435,0.5435
O00444_CHEMBL5430793,O00444,0.5488,0.5488
