Target_class,Model,n_targets,n_compounds,mean_RMSE,mean_MSE,mean_Pearson,mean_Spearman,mean_Kendall,mean_CI,mean_Rm2
Kinase,flowr_root,23,1949,0.9026,0.8683,0.4747,0.4504,0.3192,0.6601,0.2196
Kinase,boltz2,23,1949,1.3524,1.9796,0.3596,0.3727,0.2616,0.6312,0.1451
Kinase,mfe,23,1949,1.2899,1.7466,0.2095,0.1932,0.1362,0.5683,0.083
Kinase,llf,23,1949,1.3381,2.0398,0.1753,0.1767,0.1197,0.56,0.057
Kinase,mixingdta,23,1949,1.2583,1.6949,0.1619,0.1583,0.1117,0.5561,0.0804
Kinase,flowdock,23,1949,1.2571,1.701,0.1566,0.1593,0.1124,0.5564,0.0826
Kinase,bapred,23,1949,1.3883,2.0655,0.1544,0.1423,0.1011,0.5507,0.054
Kinase,haiping,23,1949,1.286,1.7485,0.1224,0.1225,0.0832,0.5419,0.0627
Kinase,deepdta,23,1949,1.5651,2.7704,0.1127,0.1194,0.0818,0.5412,0.046
Family A G protein-coupled receptor,flowr_root,14,721,0.8438,0.7644,0.5237,0.4937,0.3594,0.68,0.298
Family A G protein-coupled receptor,boltz2,14,721,1.2976,1.7396,0.4316,0.3818,0.2674,0.6342,0.1793
Family A G protein-coupled receptor,llf,14,721,1.4118,2.185,0.2854,0.2331,0.1574,0.5788,0.095
Family A G protein-coupled receptor,mfe,14,721,1.2842,1.7717,0.1464,0.1579,0.1037,0.5521,0.0521
Family A G protein-coupled receptor,mixingdta,14,721,1.3459,1.9094,0.0955,0.0562,0.0407,0.5206,0.0573
Family A G protein-coupled receptor,haiping,14,721,1.2926,1.7436,0.0874,0.0845,0.0572,0.5285,0.0392
Family A G protein-coupled receptor,deepdta,14,721,1.2967,1.8365,0.0674,0.0465,0.0315,0.5156,0.0509
Family A G protein-coupled receptor,flowdock,14,721,2.2059,5.0445,0.0535,0.0474,0.0331,0.5165,0.0385
Family A G protein-coupled receptor,bapred,14,721,1.3407,1.9167,-0.0199,-0.0195,-0.0135,0.4934,0.0236
Epigenetic regulator,boltz2,8,976,1.2748,1.7314,0.4822,0.4674,0.3232,0.662,0.2187
Epigenetic regulator,flowr_root,8,976,0.7766,0.6108,0.4756,0.4808,0.3405,0.6704,0.2384
Epigenetic regulator,llf,8,976,1.2179,1.6912,0.2956,0.3025,0.2074,0.6037,0.1068
Epigenetic regulator,mfe,8,976,1.0242,1.0953,0.1887,0.1711,0.1121,0.5561,0.0618
Epigenetic regulator,bapred,8,976,1.104,1.2356,0.1647,0.1795,0.1169,0.5587,0.0312
Epigenetic regulator,flowdock,8,976,0.9904,1.0482,0.1413,0.1335,0.0933,0.5466,0.0746
Epigenetic regulator,mixingdta,8,976,1.1817,1.4322,0.1227,0.1323,0.0867,0.5434,0.0493
Epigenetic regulator,haiping,8,976,1.1126,1.251,0.1144,0.1134,0.0784,0.5392,0.0323
Epigenetic regulator,deepdta,8,976,1.385,1.9742,0.1098,0.1356,0.093,0.5466,0.0405
Hydrolase,flowr_root,8,691,0.9437,0.9751,0.4321,0.3895,0.2741,0.6372,0.1862
Hydrolase,bapred,8,691,1.525,2.6143,0.2566,0.2522,0.1769,0.5887,0.0401
