series,model,MSE,RMSE,Pearson,Spearman,Rm2,CI,Kendall
L1000,Boltz2,0.447,0.669,0.546,0.391,0.077,0.617,0.2333333333333333
L1000,FlowDock,2.436,1.561,0.138,0.112,-0.005,0.55,0.09999999999999999
L1000,FLOWR.ROOT,1.372,1.172,0.221,0.159,0.03,0.55,0.09999999999999999
L1000,Graph_RG,1.387,1.178,0.431,0.444,-0.01,0.642,0.2833333333333333
L1000,LCDD-team,1.208,1.099,0.073,0.062,0.001,0.508,0.016666666666666666
L1000,MFE,1.512,1.23,0.331,0.479,0.039,0.633,0.26666666666666666
L1000,DeepDTA,1.071,1.035,-0.196,0.244,-0.006,0.592,0.18333333333333335
L1000,LLF,0.568,0.753,0.188,0.309,0.022,0.6,0.19999999999999998
L1000,MixingDTA,3.053,1.747,-0.08,0.144,-0.002,0.55,0.09999999999999999
L3000,Boltz2,1.139,1.067,0.596,0.595,0.247,0.714,0.42655457497777843
L3000,FlowDock,1.446,1.202,0.423,0.422,0.134,0.644,0.2878718067584022
L3000,FLOWR.ROOT,0.783,0.885,0.565,0.558,0.3,0.7,0.3979011104696428
L3000,Graph_RG,1.202,1.096,0.515,0.556,0.222,0.692,0.38185517034508687
L3000,LCDD-team,0.914,0.956,0.526,0.522,0.223,0.683,0.36466309164020555
L3000,MFE,1.454,1.206,0.538,0.47,0.284,0.665,0.3295148418435592
L3000,DeepDTA,1.71,1.308,0.387,0.352,0.115,0.627,0.25272355696175586
L3000,LLF,3.669,1.916,0.354,0.331,0.111,0.618,0.23476738586999088
L3000,MixingDTA,0.919,0.959,0.549,0.53,0.252,0.685,0.3681015073811818
