Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
boltz2,C7C422,Hydrolase,49,1.338,1.791,0.255,0.299,0.194,0.597,0.036
boltz2,O00444,Kinase,147,1.621,2.628,0.51,0.534,0.358,0.679,0.188
boltz2,O14757,Kinase,59,1.952,3.812,0.426,0.462,0.297,0.649,0.138
boltz2,O43570,Lyase,196,0.855,0.731,0.056,0.029,0.018,0.509,0.001
boltz2,O60341,Epigenetic regulator,122,1.086,1.18,0.427,0.424,0.271,0.636,0.088
boltz2,O60674,Kinase,77,0.934,0.872,0.206,0.127,0.082,0.541,0.025
boltz2,O60885,Epigenetic regulator,234,1.813,3.286,0.595,0.572,0.403,0.702,0.34
boltz2,O75116,Kinase,60,0.954,0.909,0.384,0.301,0.201,0.601,0.116
boltz2,O75874,Oxidoreductase,39,1.432,2.051,0.307,0.332,0.231,0.616,0.06
boltz2,O94925,Hydrolase,84,0.679,0.462,0.14,0.241,0.154,0.577,0.005
boltz2,O96028,Epigenetic regulator,34,0.651,0.424,0.267,0.172,0.08,0.54,0.024
boltz2,P00533,Kinase,139,1.048,1.098,0.29,0.232,0.16,0.58,0.023
boltz2,P00915,Lyase,247,1.122,1.26,0.455,0.445,0.304,0.652,0.16
boltz2,P00918,Lyase,263,1.203,1.447,0.287,0.287,0.203,0.602,0.035
boltz2,P01116,Hydrolase,52,2.769,7.667,0.043,0.21,0.162,0.581,-0.0
boltz2,P03372,Transcription factor,79,1.93,3.726,-0.609,-0.639,-0.48,0.259,-0.261
boltz2,P03951,Protease,39,1.249,1.561,0.736,0.725,0.552,0.777,0.479
boltz2,P04629,Kinase,113,1.83,3.35,0.162,0.207,0.144,0.572,0.01
boltz2,P06276,Hydrolase,126,1.104,1.219,0.222,0.224,0.156,0.578,0.025
boltz2,P07333,Kinase,81,1.329,1.767,-0.066,0.137,0.105,0.553,0.001
boltz2,P08183,Transporter,83,1.183,1.4,0.153,0.173,0.116,0.558,0.009
boltz2,P08684,Cytochrome p450,56,1.815,3.293,-0.582,-0.579,-0.398,0.301,-0.188
boltz2,P08908,Family A G protein-coupled receptor,46,1.458,2.126,0.799,0.764,0.541,0.771,0.503
boltz2,P09874,Transferase,127,1.228,1.507,0.645,0.693,0.516,0.758,0.237
boltz2,P0DTD1,Transferase,726,1.305,1.704,0.278,0.283,0.195,0.598,0.048
boltz2,P10275,Transcription factor,36,0.945,0.893,-0.02,-0.057,-0.049,0.475,-0.0
boltz2,P14416,Family A G protein-coupled receptor,134,1.341,1.798,0.374,0.369,0.246,0.623,0.12
boltz2,P17931,Unclassified protein,38,2.03,4.122,-0.294,-0.315,-0.205,0.397,-0.036
boltz2,P21728,Family A G protein-coupled receptor,37,1.149,1.321,-0.14,-0.155,-0.086,0.457,0.009
boltz2,P22303,Hydrolase,109,1.437,2.064,0.462,0.482,0.34,0.67,0.191
boltz2,P23458,Kinase,99,1.491,2.223,0.66,0.684,0.48,0.74,0.399
boltz2,P24941,Kinase,50,0.744,0.554,0.72,0.745,0.572,0.786,0.487
boltz2,P27338,Oxidoreductase,124,1.297,1.683,0.182,0.169,0.116,0.558,0.016
