Model,Dataset,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
bapred,af3_chembl35_full,C7C422,Hydrolase,49,1.258,1.583,0.116,0.158,0.124,0.562,0.003
bapred,af3_chembl35_full,O00444,Kinase,147,1.675,2.806,0.17,0.136,0.09,0.545,0.013
bapred,af3_chembl35_full,O14757,Kinase,59,1.043,1.088,0.042,0.097,0.063,0.531,0.001
bapred,af3_chembl35_full,O43570,Lyase,196,0.824,0.68,0.233,0.177,0.122,0.561,0.01
bapred,af3_chembl35_full,O60341,Epigenetic regulator,122,1.363,1.858,0.1,0.089,0.051,0.526,0.002
bapred,af3_chembl35_full,O60674,Kinase,77,0.945,0.893,0.187,0.157,0.113,0.557,0.019
bapred,af3_chembl35_full,O60885,Epigenetic regulator,234,0.997,0.993,0.411,0.422,0.279,0.64,0.102
bapred,af3_chembl35_full,O75116,Kinase,60,0.98,0.96,0.248,0.285,0.179,0.59,0.052
bapred,af3_chembl35_full,O75874,Oxidoreductase,39,2.223,4.942,0.116,0.149,0.096,0.548,0.007
bapred,af3_chembl35_full,O94925,Hydrolase,84,0.888,0.789,0.484,0.416,0.293,0.647,-0.013
bapred,af3_chembl35_full,O96028,Epigenetic regulator,34,0.907,0.823,-0.152,-0.129,-0.084,0.458,-0.005
bapred,af3_chembl35_full,P00533,Kinase,139,1.046,1.094,0.126,0.096,0.059,0.53,0.006
bapred,af3_chembl35_full,P00915,Lyase,247,1.182,1.397,-0.113,-0.159,-0.098,0.451,0.0
bapred,af3_chembl35_full,P00918,Lyase,263,1.035,1.071,0.256,0.164,0.112,0.556,0.016
bapred,af3_chembl35_full,P01116,Hydrolase,52,1.952,3.809,-0.016,0.033,0.032,0.516,0.0
bapred,af3_chembl35_full,P03372,Transcription factor,79,2.096,4.393,-0.444,-0.374,-0.263,0.368,-0.068
bapred,af3_chembl35_full,P03951,Protease,39,0.986,0.972,0.452,0.355,0.241,0.621,0.185
bapred,af3_chembl35_full,P04629,Kinase,113,1.84,3.385,-0.064,-0.057,-0.036,0.482,0.0
bapred,af3_chembl35_full,P06276,Hydrolase,126,1.332,1.774,0.077,0.176,0.117,0.559,0.002
